pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_rade,pl_masse,sy_dist
Kepler-356 b,Kepler-356,b,Transit,2014,4.6126736,1.6,,707.559
Kepler-106 d,Kepler-106,d,Transit,2014,23.9802348,1.03,,444.322
Kepler-200 c,Kepler-200,c,Transit,2014,10.22214214,1.99,,665.912
Kepler-1775 b,Kepler-1775,b,Transit,2021,85.6542476,3.56,,657.023
Kepler-286 d,Kepler-286,d,Transit,2014,5.9142668,1.31,,1226.85
Kepler-283 c,Kepler-283,c,Transit,2014,92.749023,38.67,,468.094
Kepler-589 b,Kepler-589,b,Transit,2016,16.54964934,2.52,,612.803
Kepler-842 b,Kepler-842,b,Transit,2016,1.21956827,1.58,,532.726
Kepler-1282 b,Kepler-1282,b,Transit,2016,2.131945045,1.66,,1103.29
Kepler-773 b,Kepler-773,b,Transit,2016,3.749103,1.57,,547.026
Kepler-1605 b,Kepler-1605,b,Transit,2016,85.7565495,2.635,,546.23
TrES-2 b,TrES-2,b,Transit,2006,2.47063,14.258,381.1,215.32
TOI-2202 b,TOI-2202,b,Transit,2021,11.9126075,10.95117414,287.31687993,235.933
TOI-4087 b,TOI-4087,b,Transit,2023,3.1774835,13.04725353,232.01473711,301.676
Kepler-254 c,Kepler-254,c,Transit,2014,12.41217869,2.28,,1389.48
Kepler-632 b,Kepler-632,b,Transit,2016,30.99660733,2.42,,
Kepler-150 e,Kepler-150,e,Transit,2014,30.8264713,2.734,,891.092
Kepler-520 c,Kepler-520,c,Transit,2016,5.21104261,1.05,,623.901
Kepler-1513 b,Kepler-1513,b,Transit,2016,160.8842,8.594,48.30991786,349.247
CoRoT-17 b,CoRoT-17,b,Transit,2011,3.7681,11.43318,765.9703,1176.12
Kepler-1136 b,Kepler-1136,b,Transit,2016,2.361724329,1.54,,491.406
Kepler-113 b,Kepler-113,b,Transit,2014,4.75400115,1.9,,262.351
Kepler-194 b,Kepler-194,b,Transit,2014,2.092269993,1.48,,1097.97
Kepler-621 b,Kepler-621,b,Transit,2016,2.628113746,1.9,,
Kepler-9 d,Kepler-9,d,Transit,2010,1.59295975,1.48,,628.257
K2-5 c,K2-5,c,Transit,2015,10.93406,1.92,,202.943
Kepler-323 c,Kepler-323,c,Transit,2014,3.5538229,1.57,6.8,454.883
WASP-2 b,WASP-2,b,Transit,2007,2.152175,12.116929,295.89973,153.242
TOI-2076 d,TOI-2076,d,Transit,2021,35.1257472,3.17021,,41.9091
Kepler-20 f,Kepler-20,f,Transit,2011,19.5776073,0.9,,282.563
K2-386 b,K2-386,b,Transit,2022,7.47331,2.74,,428.785
Kepler-1211 b,Kepler-1211,b,Transit,2016,11.01816836,2.69,,1826.53
Kepler-1235 b,Kepler-1235,b,Transit,2016,4.16055856,0.79,,540.604
Kepler-1964 b,Kepler-1964,b,Transit,2021,2.440836404,14.68,,
Kepler-519 b,Kepler-519,b,Transit,2016,24.3078946,2.1,,246.61
K2-318 b,K2-318,b,Transit,2020,7.01,1.66,,147.866
HATS-72 b,HATS-72,b,Transit,2020,7.327945,9.49027,,127.589
Kepler-1249 b,Kepler-1249,b,Transit,2016,24.3344939,1.74,,1904.54
Kepler-532 b,Kepler-532,b,Transit,2016,12.92491623,2.62,,312.798
Kepler-1877 b,Kepler-1877,b,Transit,2021,2.37752807,0.48,,285.312
Kepler-213 c,Kepler-213,c,Transit,2014,4.82297735,1.85,,634.939
Kepler-1587 b,Kepler-1587,b,Transit,2016,9.4060467,1.32,,1026.48
Kepler-237 b,Kepler-237,b,Transit,2014,4.715106,1.41,,657.822
Kepler-1619 b,Kepler-1619,b,Transit,2016,23.6225913,0.76,,734.85
Kepler-1312 b,Kepler-1312,b,Transit,2016,5.448321078,2.17,,299.104
Kepler-20 f,Kepler-20,f,Transit,2011,19.5776286,0.99,,282.563
Kepler-200 c,Kepler-200,c,Transit,2014,10.222157,1.59,,665.912
K2-237 b,K2-237,b,Transit,2018,2.18053332,16.06246934,434.15360396,314.995
Kepler-1046 b,Kepler-1046,b,Transit,2016,14.37517,1.39,,721.534
Kepler-144 c,Kepler-144,c,Transit,2014,10.104648,1.26,,384.917
Kepler-203 b,Kepler-203,b,Transit,2014,3.162691238,2.29,,703.302
Kepler-179 c,Kepler-179,c,Transit,2014,6.400147394,2.26,,605.68
Kepler-62 f,Kepler-62,f,Transit,2013,267.282521,1.43,,300.874
Kepler-580 b,Kepler-580,b,Transit,2016,8.222419656,2.57,,323.899
Kepler-633 c,Kepler-633,c,Transit,2021,23.783247,2.45,,680.54
TOI-3714 b,TOI-3714,b,Transit,2022,2.15484802,11.14172682,218.98377242,112.71
Kepler-777 b,Kepler-777,b,Transit,2016,5.72812599,1.47,,443.106
Kepler-313 b,Kepler-313,b,Transit,2014,14.9702081,2.682,,
Kepler-298 d,Kepler-298,d,Transit,2014,77.4740991,2.63,,518.204
Kepler-14 b,Kepler-14,b,Transit,2011,6.79009811134,9.75484809,,
CoRoT-2 b,CoRoT-2,b,Transit,2008,1.7429964,16.42116,1051.973,213.283
Kepler-1211 b,Kepler-1211,b,Transit,2016,11.01816836,2.55,,1826.53
